source_document,page_number,content_type,content
doc2.md,1,Header 1,เรื่องควรรู้
doc2.md,1,Header 2,สิทธิหลักประกันสุขภาพแห่งชาติ
doc2.md,1,Bulleted List,เป็นสิทธิของคนไทยตามกฎหมาย
doc2.md,1,Header 2,กราฟิกและสัญลักษณ์
doc2.md,1,Bulleted List,มีการใช้แผนที่ประเทศไทยเพื่อแสดงพื้นที่การดำเนินงานของสิทธิหลักประกันสุขภาพแห่งชาติ
doc2.md,1,Bulleted List,มีบ้านสามหลังบนถนนสำหรับแสดงสถานที่ที่สามารถเข้าถึงได้โดยมีสิทธิหลักประกันสุขภาพแห่งชาติ
doc2.md,1,Bulleted List,มีรถฉุกเฉินและรถประจำทางบนถนนเพื่อแสดงประเภทของการขนส่งผู้ป่วย
doc2.md,2,Header 1,เรื่องควรรู้ สิทธิหลักประกันสุขภาพแห่งชาติ
doc2.md,2,Header 2,สำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.)
doc2.md,2,Bulleted List,"เลขที่ 120 หมู่ 3 ชั้น 2-4 อาคารรวมหน่วยงานราชการ"
doc2.md,2,Bulleted List,“ศูนย์ราชการเฉลิมพระเกียรติ 80 พรรษา 5 ธันวาคม 2550”
doc2.md,2,Bulleted List,"ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210"
doc2.md,2,Header 2,คณะอนุกรรมการสื่อสารสังคมฯ ภายใต้คณะกรรมการหลักประกันสุขภาพแห่งชาติ
doc2.md,2,Bulleted List,นิภาพรรณ สุขศิริ พัฒณิตา ระลึก กฤษ ลีทองอิน เพียงพร สันทัด กฤษณา โกสีเหด
doc2.md,2,Bulleted List,บำรุง ชลอเดช กัญจนา รัตน์ อาทิตย์ วรรธน์ ณัฐวรรณ บุญกฤทธิ์ภักดี
doc2.md,2,Bulleted List,จารุวรรณ น้อยพิชัย สุวิมล คล้ายผูก
doc2.md,2,Header 2,จำนวนพิมพ์:
doc2.md,2,Bulleted List,
doc2.md,2,Header 2,พิมพ์ที่:
doc2.md,2,Bulleted List,
doc2.md,3,Header 1,คำนำ
doc2.md,3,Text,สุขภาพเป็นปัจจัยพื้นฐานของความเป็นมนุษย์ การมีสุขภาพดีของบุคคล มีความสัมพันธ์กับการเข้าถึงบริการสุขภาพที่ครอบคลุมทั้ง 4 มิติ ทั้งการสร้างเสริมสุขภาพ การป้องกันโรค การรักษาพยาบาล และการฟื้นฟูสมรรถภาพ ที่จำเป็นต่อสุขภาพและการดำรงชีวิต แนวคิดพื้นฐานที่สำคัญของการสร้างหลักประกันสุขภาพถ้วนหน้า คือ การให้สิทธิประชาชนเข้าถึงบริการสุขภาพที่จำเป็นโดยไม่มีอุปสรรคทางการเงิน หลักประกันสุขภาพถ้วนหน้าจึงเป็นเรื่องของการสร้างความมั่นคงด้านสุขภาพให้กับทุกคนให้มีสุขภาพที่ดี ตั้งแต่แรกเกิดไปจนถึงตลอดช่วงชีวิต เมื่อเจ็บป่วยจะได้รับการดูแลรักษาพยาบาลที่มีคุณภาพได้มาตรฐาน นำไปสู่การเสริมสร้างศักยภาพทุนมนุษย์ให้มีความพร้อมขับเคลื่อนเศรษฐกิจและสังคมโดยรวม
doc2.md,4,Header 1,เพื่อเป็นการสร้างความเข้าใจต่อระบบหลักประกันสุขภาพถ้วนหน้า และ
