source_document,page_number,content_type,content
doc.md,1,Header 1,เรื่องนี้มีคำตอบ
doc.md,1,Header 2,คู่มือสิทธิหลักประกันสุขภาพแห่งชาติ ปีงบประมาณ 2566
doc.md,1,Bulleted List,Q&A
doc.md,1,Header 2,Social Media Icons
doc.md,1,Table,"LINE | Facebook"
doc.md,1,Header 2,Other Icons
doc.md,1,Table,"Wi-Fi | Instagram"
doc.md,1,Header 2,Footnotes and Annotations
doc.md,1,Bulleted List,"The text 'เรื่องนี้มีคำตอบ' translates to 'This question has an answer.'"
doc.md,2,Header 1,สารบัญ
doc.md,2,Header 2,ประโยชน์ของบริการ
doc.md,2,Bulleted List,นโยบายปัจมภูมิไปที่ไหนก็ได้ทั่วประเทศ (OP Anywhere)
doc.md,2,Bulleted List,ผู้ป่วยในไม่ต้องใช้ใบส่งตัวทั่วประเทศ (IP Anywhere)
doc.md,2,Bulleted List,สิทธิประโยชน์โรคมะเร็งไปรับบริการที่ไหนก็ได้ที่พร้อม (Cancer Anywhere)
doc.md,2,Bulleted List,สิทธิประโยชน์ทันตกรรม
doc.md,2,Bulleted List,สิทธิประโยชน์เกี่ยวกับโรคไต้
doc.md,2,Bulleted List,สิทธิประโยชน์ผู้ติดเชื้อเอชไอวีและผู้ป่วยเอดส์
doc.md,2,Bulleted List,สิทธิประโยชน์การฝากครรภ์และคลอดบุตร
doc.md,2,Bulleted List,สิทธิประโยชน์ยา เวชภัณฑ์ อวัยวะเทียมและอุปกรณ์ทางการแพทย์
doc.md,2,Bulleted List,การใช้สิทธิกรณีฉุบดิเหตุ เจ็บป่วยฉุกเฉิน
doc.md,2,Bulleted List,การใช้สิทธิว่าง
doc.md,2,Bulleted List,ช่องทางการตรวจสอบสิทธิ
doc.md,2,Bulleted List,ช่องทางแจ้งเรื่องร้องเรียน ร้องทุกข์
doc.md,2,Bulleted List,แหล่งข้อมูลอ้างอิง
doc.md,3,Header 1,คำนำ
doc.md,3,Text,"ตามที่ สำนักบริการประชาชน (Contact Center) สำนักงานหลักประกันสุขภาพแห่งชาติ มีภารกิจหลักในการสร้างความรู้ความเข้าใจในสิทธิและความคุ้มครองสิทธิประชาชนในระบบหลักประกันสุขภาพแห่งชาติ ตลอดระยะเวลาที่ผ่านมา พบว่า ยังมีข้อซักถาม เรื่องร้องเรียน ร้องทุกข์ เกี่ยวกับสิทธิประโยชน์การเข้ารับบริการของสิทธิหลักประกันสุขภาพแห่งชาติ เข้ามาจำนวนมาก ทั้งนี้ จากเนื้อจากกฎระเบียบแนวทางปฏิบัติและสิทธิประโยชน์ที่มีการเปลี่ยนแปลง และมีรายละเอียด ค่อนข้างมาก ดังนั้น เพื่อให้ประชาชนและหน่วยบริการได้รับทราบข้อมูลและมีความเข้าใจที่ตรงกัน และลดข้อขัดแย้งเกี่ยวกับการใช้สิทธิหลักประกันสุขภาพแห่งชาติในเรื่องต่างๆ สำนักบริการประชาชน (Contact Center) จึงได้รวบรวมคำถามและปัญหาที่พบบ่อยจากการให้บริการตอบคำถาม จัดทำเป็นคู่มือสิทธิหลักประกันสุขภาพแห่งชาติ ในรูปแบบหนังสืออิเล็กทรอนิกส์ (E-Book) ""เรื่องนี้ 1330 มีคำตอบ"" โดยจัดทำขึ้นหน้า Website สำนักงานหลักประกันสุขภาพแห่งชาติ เพื่อเป็นแนวทางให้ประชาชนและหน่วยบริการได้รับทราบข้อมูลเกิดความเข้าใจที่ตรงกันและสามารถใช้สิทธิได้อย่างถูกต้องต่อไป"
doc.md,3,Header 2,สำนักบริการประชาชน (Contact Center)
doc.md,3,Text,สำนักงานหลักประกันสุขภาพแห่งชาติ
doc.md,4,Header 1,นโยบายปฐมภูมิ
doc.md,4,Header 2,ไปที่ไหนก็ได้ทั่วประเทศ (OP Anywhere)
doc.md,4,Header 3,Q&A
doc.md,4,Q&A,"Q: นโยบายปฐมภูมิไปที่ไหนก็ได้ใช้สิทธิอย่างไร | A: การใช้สิทธิดังกล่าว มีเงื่อนไขดังนี้"
doc.md,4,Q&A,"Q: 1.1 ต้องเข้ารับการรักษากรณีผู้ป่วยนอก (OPD) | A: 1.1 ต้องเข้ารับการรักษากรณีผู้ป่วยนอก (OPD)"
doc.md,4,Q&A,"Q: 1.2 ต้องไม่ใช่กรณีรักษาต่อเนื่อง (นัดติดตามอาการ) | A: 1.2 ต้องไม่ใช่กรณีรักษาต่อเนื่อง (นัดติดตามอาการ)"
doc.md,4,Q&A,"Q: นโยบายปฐมภูมิไปที่ไหนก็ได้ ใช้ได้ทั่วประเทศหรือไม่ | A: ใช้ได้ทั่วประเทศ มีผลตั้งแต่วันที่ 1 มกราคม 2565 เป็นต้นไป"
doc.md,4,Q&A,"Q: มีหน่วยบริการใดบางที่สามารถใช้สิทธินโยบายปฐมภูมิไปที่ไหนก็ได้ | A: หน่วยบริการที่สามารถใช้สิทธินโยบายดังกล่าวได้ อาทิ ศูนย์บริการสาธารณสุขคลินิกชุมชนอบอุ่น โรงพยาบาลส่งเสริมสุขภาพตำบลบ (รพ.สต.) ร้านยา เป็นต้น"
doc.md,4,Q&A,"Q: • สามารถตรวจสอบรายชื่อหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติผ่านสายด่วน สปสช.1330 หรือ https://www.nhso.go.th/page/hospital | A: • สามารถตรวจสอบรายชื่อหน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติผ่านสายด่วน สปสช.1330 หรือ https://www.nhso.go.th/page/hospital"
doc.md,4,Q&A,"Q: ผู้ป่วยมีสิทธิหลักประกันสุขภาพแห่งชาติที่จังหวัดนอนเก่นเดินทางมาเยี่ยมญาติตี่ กทม. ยากี้เคยกินประจำหมดจะขอรับยากี้หน่วยบริการอื่นได้หรือไม่ | A: ได้ ควรนำยาเดิมให้แพทย์พิจารณาร่วมด้วย"
doc.md,4,Q&A,"Q: ผู้ป่วยมาเยี่ยมเพื่อนที่ชลบุรี เกิดอาการเจ็บแน่นหน้าอกและสิทธิหลักประกันสุขภาพแห่งชาติอยู่อุดรธานี จะใช้สิทธิรักษา รพ.รัฐ ใกล้ๆ ได้หรือไม่ | A: ใช้สิทธิได้ ให้แจ้งความประสงค์พร้อมแสดงบัตรประจำตัวประชาชนประกอบการใช้สิทธิ"
doc.md,5,Header 1,นโยบายปฐมภูมิ
doc.md,5,Header 2,ไปที่ไหนก็ได้ทั่วประเทศ (OP Anywhere)
doc.md,5,Header 3,Q&A
doc.md,5,Q&A,"Q: ผู้ป่วยมีนัดรับยาเบาหวาน กับหน่วยบริการที่รักษาประจำ ซึ่งไม่ใช่หน่วยบริการประจำตามสิทธิ์ที่ลงทะเบียนไว้ จะใช้สิทธิ์ได้หรือไม่ | A: ไม่ได้ เนื่องจากการใช้สิทธินโยบายปฐมภูมิไปที่ไหนก็ได้ จะต้องไม่ใช่กรณีนัดหมาย"
doc.md,5,Q&A,"Q: บุตรอายุ 5 ขวบมีไข้ 38 องศา หน่วยบริการประจำตามสิทธิของเด็กอยู่ไกล สามารถพาบุตรเข้ารักษาหน่วยบริการอื่นใกล้บ้านได้หรือไม่ | A: ได้ ให้แจ้งความประสงค์พร้อมแสดงบัตรประจำตัวประชาชนประกอบการใช้สิทธิ"
doc.md,5,Q&A,"Q: ผู้มีสิทธิประกันสังคม สิทธิข้าราชการ สิทธิรัฐวิสาหกิจ สามารถใช้สิทธินโยบายปฐมภูมิไปที่ไหนก็ได้ ได้หรือไม่ | A: ไม่ได้ นโยบายนี้ใช้ได้เฉพาะผู้มีสิทธิหลักประกันสุขภาพแห่งชาติตเท่านั้น"
doc.md,5,Q&A,"Q: มีอาการกระเพาะปัสสาวะอักเสบ มาตรวจที่รพ.รัฐใกล้บ้านเจ้าหน้าที่แจ้งว่าต้องกลับไปขอใบส่งตัวจาก รพ.ตามสิทธิมาก่อน ต้องการทราบว่า กรณีนี้ใช้สิทธิปฐมภูมิไปที่ไหนก็ได้ ได้หรือไม่ | A: ใช้สิทธิได้โดยไม่ต้องใช้ใบส่งตัวเนื่องจากเข้ารับบริการเป็นผู้ป่วยนอกในหน่วยที่เข้าร่วมโครงการ"
doc.md,5,Q&A,"Q: ต้องการชุดหินปูน ไม่ได้ชุดมา 2 ปีแล้วเนื่องจากสถานการณ์โควิด-19 มาเข้ารับบริการที่หน่วยบริการตามสิทธิ แต่คิวในการรอทำฟันนาน 7 เดือน สามารถติดต่อหน่วยบริการอื่นของ สปสช. ได้หรือไม่ | A: ใช้กรณีปฐมภูมิไปที่ไหนก็ได้ โดยติดต่อหน่วยบริการในระบบของ สปสช. หรือหน่วยบริการเฉพาะด้านทันตกรรม แนะนำโทรศัพท์สอบถามหรือนัดหมายล่วงหน้าก่อนเข้ารับบริการ"
doc.md,6,Header 1,ผู้ป่วยใน
doc.md,6,Header 2,ไม่ต้องใช้ใบส่งตัว
doc.md,6,Header 3,กับประเทศ (IP Anywhere)
doc.md,6,Q&A,"Q: นโยบายผู้ป่วยในไม่ต้องใช้ใบส่งตัว ใช้ได้ทั่วประเทศหรือไม่ | A: ใช้ได้ทั่วประเทศ มีผลตั้งแต่วันที่ 1 มกราคม 2565 เป็นต้นไป"
doc.md,6,Q&A,"Q: ผู้ป่วยมีอาการปวดท้อง แพทย์วินิจฉัยว่าเป็นกรดไหลย้อน จะให้นอน rw. | A: ต้องใช้ใบส่งตัวจาก rw.ตามสิทธิ หรือไม่"
doc.md,6,Q&A,"Q: ผู้ป่วยรับยาเบาหวานต่อเนื่องที่ rw.รัฐมาตลอด โดยชำระค่าใช้จ่ายเอง วันนี้แพทย์ตรวจพบระดับน้ำตาลในเลือดสูง ให้นอนดูอาการที่ rw. | A: หากต้องการใช้สิทธิหลักประกันสุขภาพแห่งชาติ ต้องทำอย่างไร"
doc.md,6,Q&A,"Q: A: ให้ติดต่อแจ้งขอใช้สิทธิหลักประกันสุขภาพแห่งชาติ พร้อมแสดงบัตรประจำตัวประชาชน โดยไม่ต้องใช้ใบส่งตัวจาก rw.ตามสิทธิ | A: "
doc.md,7,Header 1,ผู้ป่วยใน
doc.md,7,Header 2,ไม่ต้องใช้ใบส่งตัว
doc.md,7,Header 3,กับประเทศ (IP Anywhere)
doc.md,7,Text,Q&A
doc.md,7,Q&A,"Q: แพทย์นัดผ่าตัดข้อเข่าเสื่อม แจ้งให้ไปขอใบส่งตัวที่ rw.ตามสิทธิ กรณีนี้ญาติตจะขอใช้สิทธิกรณีผู้ป่วยไม่ต้องใช้ใบส่งตัวได้หรือไม่ | A: หากเข้ารับการผ่าตัดที่ rw. ในระบบ สปสช. ผู้ป่วยสามารถใช้สิทธิรักษากรณีผู้ป่วยในไม่ต้องใช้ใบส่งตัวได้เลย"
doc.md,7,Q&A,"Q: บุตรอายุ 5 ปี เป็นโรคหัวใจแต่กำเนิด ผู้ปกครองพาบุตรมาเข้ารักษาที่ rw.รัฐ (ประจำจังหวัด) แพทย์แนะนำว่าต้องผ่าตัด จะต้องใช้ใบส่งตัวจาก rw. ตามสิทธิหรือไม่ | A: ไม่ต้องใช้ใบส่งตัว"
